base,compare,unigrams,bigrams,label
plg-300.txt,org-332.txt,0.6441,0.1677,copy
plg-300.txt,org-306.txt,0.6278,0.1709,copy
plg-300.txt,org-367.txt,0.4223,0.0336,copy
plg-300.txt,org-408.txt,0.3902,0.0494,original
plg-300.txt,org-415.txt,0.3814,0.0502,original
plg-300.txt,org-307.txt,0.372,0.0405,original
plg-300.txt,org-377.txt,0.3618,0.0635,original
plg-300.txt,org-335.txt,0.3446,0.0609,original
plg-300.txt,org-372.txt,0.3334,0.0126,original
plg-300.txt,org-370.txt,0.3305,0.0059,original
plg-300.txt,org-303.txt,0.329,0.0383,original
plg-300.txt,org-371.txt,0.3265,0.0148,original
plg-300.txt,org-334.txt,0.3185,0.0467,original
plg-300.txt,org-380.txt,0.2976,0.0299,original
plg-300.txt,org-319.txt,0.2945,0.0555,original
plg-300.txt,org-360.txt,0.2906,0.0601,original
plg-300.txt,org-314.txt,0.2725,0,original
plg-300.txt,org-353.txt,0.2579,0.0254,original
plg-300.txt,org-320.txt,0.2514,0.0435,original
plg-300.txt,org-318.txt,0.2486,0.0378,original
plg-300.txt,org-328.txt,0.241,0.0395,original
plg-300.txt,org-313.txt,0.2383,0.0239,original
plg-300.txt,org-302.txt,0.2376,0.0534,original
plg-300.txt,org-385.txt,0.237,0.0533,original
plg-300.txt,org-387.txt,0.2356,0.0367,original
plg-300.txt,org-388.txt,0.2299,0.0095,original
plg-300.txt,org-389.txt,0.2298,0.0482,original
plg-300.txt,org-418.txt,0.2296,0.0145,original
plg-300.txt,org-337.txt,0.2237,0.0424,original
plg-300.txt,org-315.txt,0.2196,0.0108,original
plg-300.txt,org-383.txt,0.2188,0.0276,original
plg-300.txt,org-373.txt,0.2139,0.0196,original
plg-300.txt,org-312.txt,0.2113,0.0372,original
plg-300.txt,org-354.txt,0.2089,0.011,original
plg-300.txt,org-366.txt,0.2057,0.0047,original
plg-300.txt,org-359.txt,0.202,0.0068,original
plg-300.txt,org-309.txt,0.1934,0.0161,original
plg-300.txt,org-300.txt,0.1907,0.0416,original
plg-300.txt,org-347.txt,0.1858,0.0163,original
plg-300.txt,org-350.txt,0.1858,0.0163,original
plg-300.txt,org-352.txt,0.1834,0.0283,original
plg-300.txt,org-305.txt,0.1828,0,original
plg-300.txt,org-357.txt,0.1813,0.03,original
plg-300.txt,org-364.txt,0.1813,0.03,original
plg-300.txt,org-331.txt,0.1803,0.0431,original
plg-300.txt,org-386.txt,0.1732,0,original
plg-300.txt,org-346.txt,0.1694,0.0174,original
plg-300.txt,org-308.txt,0.1663,0.012,original
plg-300.txt,org-416.txt,0.1641,0.0051,original
plg-300.txt,org-351.txt,0.1633,0.0138,original
plg-300.txt,org-410.txt,0.1633,0.0138,original
plg-300.txt,org-398.txt,0.1487,0.0182,original
plg-300.txt,org-327.txt,0.1476,0.0217,original
plg-300.txt,org-316.txt,0.1464,0.0236,original
plg-300.txt,org-333.txt,0.1436,0.0265,original
plg-300.txt,org-402.txt,0.1434,0.0059,original
plg-300.txt,org-338.txt,0.1408,0,original
plg-300.txt,org-417.txt,0.1399,0.0173,original
plg-300.txt,org-336.txt,0.1396,0.0472,original
plg-300.txt,org-390.txt,0.1357,0,original
plg-300.txt,org-348.txt,0.1322,0.0348,original
plg-300.txt,org-401.txt,0.1317,0,original
plg-300.txt,org-344.txt,0.1233,0.0212,original
plg-300.txt,org-356.txt,0.1224,0.0162,original
plg-300.txt,org-407.txt,0.1223,0.0257,original
plg-300.txt,org-374.txt,0.1161,0.0163,original
plg-300.txt,org-403.txt,0.1154,0.0104,original
plg-300.txt,org-362.txt,0.1115,0.0126,original
plg-300.txt,org-391.txt,0.1115,0.0126,original
plg-300.txt,org-375.txt,0.1091,0.0156,original
plg-300.txt,org-349.txt,0.1071,0.0029,original
plg-300.txt,org-384.txt,0.101,0.0108,original
plg-300.txt,org-381.txt,0.1,0.0108,original
plg-300.txt,org-330.txt,0.0976,0.01,original
plg-300.txt,org-400.txt,0.0966,0,original
plg-300.txt,org-339.txt,0.0917,0.0116,original
plg-300.txt,org-358.txt,0.0916,0.0086,original
plg-300.txt,org-369.txt,0.0914,0.004,original
plg-300.txt,org-304.txt,0.0901,0.0175,original
plg-300.txt,org-355.txt,0.0856,0.0097,original
plg-300.txt,org-396.txt,0.0845,0.0133,original
plg-300.txt,org-368.txt,0.0843,0,original
plg-300.txt,org-419.txt,0.0777,0.0048,original
plg-300.txt,org-393.txt,0.0767,0.01,original
plg-300.txt,org-321.txt,0.0733,0.0082,original
plg-300.txt,org-376.txt,0.0695,0,original
plg-300.txt,org-413.txt,0.0672,0,original
plg-300.txt,org-361.txt,0.0658,0,original
plg-300.txt,org-395.txt,0.0654,0.009,original
plg-300.txt,org-329.txt,0.064,0,original
plg-300.txt,org-414.txt,0.0625,0.0061,original
plg-300.txt,org-397.txt,0.0621,0,original
plg-300.txt,org-382.txt,0.0614,0,original
plg-300.txt,org-363.txt,0.0607,0,original
plg-300.txt,org-301.txt,0.0606,0,original
plg-300.txt,org-394.txt,0.0598,0.0102,original
plg-300.txt,org-379.txt,0.0589,0,original
plg-300.txt,org-411.txt,0.0562,0.0115,original
plg-300.txt,org-345.txt,0.0557,0,original
plg-300.txt,org-399.txt,0.0551,0,original
plg-300.txt,org-325.txt,0.0534,0,original
plg-300.txt,org-322.txt,0.0533,0.0061,original
plg-300.txt,org-409.txt,0.0506,0,original
plg-300.txt,org-365.txt,0.0432,0,original
plg-300.txt,org-392.txt,0.0412,0.0033,original
plg-300.txt,org-317.txt,0.0341,0.0022,original
plg-300.txt,org-378.txt,0.0335,0,original
plg-300.txt,org-412.txt,0.031,0,original
plg-300.txt,org-406.txt,0.0307,0,original
plg-300.txt,org-404.txt,0.0303,0.0036,original
plg-300.txt,org-405.txt,0.0244,0,original
plg-300.txt,org-326.txt,0.0205,0,original
plg-300.txt,org-324.txt,0.0195,0.0033,original
plg-300.txt,org-323.txt,0.0048,0,original
plg-301.txt,org-308.txt,0.8049,0.3934,copy
plg-301.txt,org-316.txt,0.3119,0.0592,original
plg-301.txt,org-354.txt,0.2922,0.0649,original
plg-301.txt,org-359.txt,0.2871,0.1075,original
plg-301.txt,org-352.txt,0.286,0.0185,original
plg-301.txt,org-315.txt,0.2825,0.0634,original
plg-301.txt,org-312.txt,0.245,0.1346,original
plg-301.txt,org-358.txt,0.2301,0.1131,original
plg-301.txt,org-389.txt,0.2285,0.019,original
plg-301.txt,org-327.txt,0.2263,0.0448,original
plg-301.txt,org-320.txt,0.2211,0.0359,original
plg-301.txt,org-377.txt,0.2148,0.025,original
plg-301.txt,org-349.txt,0.2116,0.007,original
plg-301.txt,org-347.txt,0.2087,0.0116,original
plg-301.txt,org-350.txt,0.2087,0.0116,original
plg-301.txt,org-328.txt,0.2079,0.0717,original
plg-301.txt,org-417.txt,0.2059,0.0102,original
plg-301.txt,org-415.txt,0.2011,0.0182,original
plg-301.txt,org-413.txt,0.1935,0.0032,original
plg-301.txt,org-307.txt,0.1914,0.013,original
plg-301.txt,org-367.txt,0.1838,0.0099,original
plg-301.txt,org-314.txt,0.1797,0,original
plg-301.txt,org-412.txt,0.1795,0,original
plg-301.txt,org-401.txt,0.1784,0,original
plg-301.txt,org-313.txt,0.1772,0.0081,original
plg-301.txt,org-319.txt,0.177,0.0162,original
plg-301.txt,org-374.txt,0.1766,0.0097,original
plg-301.txt,org-408.txt,0.1755,0.0087,original
plg-301.txt,org-318.txt,0.1731,0.0121,original
plg-301.txt,org-303.txt,0.1701,0.0139,original
plg-301.txt,org-345.txt,0.1688,0.0066,original
plg-301.txt,org-353.txt,0.1675,0.0202,original
plg-301.txt,org-356.txt,0.1642,0.0064,original
plg-301.txt,org-383.txt,0.1629,0.0093,original
plg-301.txt,org-335.txt,0.1589,0.024,original
plg-301.txt,org-333.txt,0.1586,0.0117,original
plg-301.txt,org-418.txt,0.1533,0.0057,original
plg-301.txt,org-302.txt,0.1491,0.0167,original
plg-301.txt,org-414.txt,0.149,0.0036,original
plg-301.txt,org-385.txt,0.1487,0.0166,original
plg-301.txt,org-339.txt,0.1479,0.0138,original
plg-301.txt,org-305.txt,0.1457,0,original
plg-301.txt,org-304.txt,0.1448,0.0069,original
plg-301.txt,org-338.txt,0.1445,0.0035,original
plg-301.txt,org-300.txt,0.1439,0.0189,original
plg-301.txt,org-330.txt,0.1434,0.0039,original
plg-301.txt,org-375.txt,0.1423,0.0124,original
plg-301.txt,org-332.txt,0.1342,0.0125,original
plg-301.txt,org-381.txt,0.1335,0.0042,original
plg-301.txt,org-387.txt,0.1314,0.0162,original
plg-301.txt,org-344.txt,0.131,0.0062,original
plg-301.txt,org-331.txt,0.1309,0.017,original
plg-301.txt,org-360.txt,0.1302,0.0218,original
plg-301.txt,org-384.txt,0.1302,0.0043,original
plg-301.txt,org-306.txt,0.1294,0.013,original
plg-301.txt,org-402.txt,0.1293,0.0295,original
plg-301.txt,org-388.txt,0.1293,0,original
plg-301.txt,org-400.txt,0.1275,0.0136,original
plg-301.txt,org-372.txt,0.1269,0,original
plg-301.txt,org-403.txt,0.1268,0.0082,original
plg-301.txt,org-371.txt,0.1263,0.0059,original
plg-301.txt,org-334.txt,0.1254,0.0157,original
plg-301.txt,org-363.txt,0.1224,0,original
plg-301.txt,org-355.txt,0.1207,0.0038,original
plg-301.txt,org-386.txt,0.1204,0,original
plg-301.txt,org-397.txt,0.1193,0,original
plg-301.txt,org-357.txt,0.1137,0.0101,original
plg-301.txt,org-364.txt,0.1137,0.0101,original
plg-301.txt,org-336.txt,0.1127,0.0167,original
plg-301.txt,org-351.txt,0.1063,0.0041,original
plg-301.txt,org-410.txt,0.1063,0.0041,original
plg-301.txt,org-393.txt,0.1047,0.0079,original
plg-301.txt,org-346.txt,0.1042,0.0041,original
plg-301.txt,org-366.txt,0.1039,0,original
plg-301.txt,org-380.txt,0.1032,0.01,original
plg-301.txt,org-361.txt,0.103,0.0204,original
plg-301.txt,org-419.txt,0.1019,0,original
plg-301.txt,org-370.txt,0.0987,0,original
plg-301.txt,org-398.txt,0.095,0.0043,original
plg-301.txt,org-309.txt,0.0921,0.0063,original
plg-301.txt,org-379.txt,0.0912,0,original
plg-301.txt,org-337.txt,0.0888,0.0167,original
plg-301.txt,org-396.txt,0.0815,0.0039,original
plg-301.txt,org-365.txt,0.0809,0.0061,original
plg-301.txt,org-394.txt,0.0803,0.0081,original
plg-301.txt,org-325.txt,0.0795,0,original
plg-301.txt,org-373.txt,0.0777,0.0077,original
plg-301.txt,org-301.txt,0.076,0.0031,original
plg-301.txt,org-407.txt,0.0754,0.0101,original
plg-301.txt,org-416.txt,0.0744,0,original
plg-301.txt,org-322.txt,0.0727,0.0111,original
plg-301.txt,org-362.txt,0.0726,0,original
plg-301.txt,org-391.txt,0.0726,0,original
plg-301.txt,org-411.txt,0.0713,0.0045,original
plg-301.txt,org-395.txt,0.0708,0.0036,original
plg-301.txt,org-390.txt,0.0696,0.0041,original
plg-301.txt,org-378.txt,0.0695,0,original
plg-301.txt,org-392.txt,0.0693,0,original
plg-301.txt,org-348.txt,0.0643,0.0126,original
plg-301.txt,org-321.txt,0.0642,0,original
plg-301.txt,org-329.txt,0.0626,0,original
plg-301.txt,org-382.txt,0.0602,0,original
plg-301.txt,org-326.txt,0.0545,0,original
plg-301.txt,org-369.txt,0.0533,0.0048,original
plg-301.txt,org-368.txt,0.0483,0,original
plg-301.txt,org-404.txt,0.0472,0,original
plg-301.txt,org-405.txt,0.0416,0,original
plg-301.txt,org-376.txt,0.0386,0,original
plg-301.txt,org-324.txt,0.0339,0,original
plg-301.txt,org-409.txt,0.0331,0,original
plg-301.txt,org-406.txt,0.0297,0,original
plg-301.txt,org-399.txt,0.0288,0,original
plg-301.txt,org-317.txt,0.0147,0,original
plg-301.txt,org-323.txt,0.0065,0,original
plg-302.txt,org-307.txt,0.7434,0.2699,copy
plg-302.txt,org-408.txt,0.3897,0.0535,original
plg-302.txt,org-332.txt,0.3825,0.0331,original
plg-302.txt,org-306.txt,0.3766,0.0301,original
plg-302.txt,org-334.txt,0.3641,0.039,original
plg-302.txt,org-335.txt,0.3394,0.0558,original
plg-302.txt,org-370.txt,0.3343,0.021,original
plg-302.txt,org-353.txt,0.3311,0.0198,original
plg-302.txt,org-367.txt,0.3295,0.0195,original
plg-302.txt,org-415.txt,0.3258,0.0598,original
plg-302.txt,org-377.txt,0.3002,0.0599,original
plg-302.txt,org-319.txt,0.2973,0.0402,original
plg-302.txt,org-380.txt,0.2958,0.0301,original
plg-302.txt,org-303.txt,0.2919,0.031,original
plg-302.txt,org-320.txt,0.2885,0.0481,original
plg-302.txt,org-315.txt,0.2878,0.0346,original
plg-302.txt,org-372.txt,0.2837,0.0099,original
plg-302.txt,org-354.txt,0.2832,0.0354,original
plg-302.txt,org-314.txt,0.2809,0,original
